addr,totalAmount
0x2045C18C143524933600784a0Da8a310e8B53895,1878079000000000000000000
0xC9fD9E362aAaaF8C2cbDFeBff2763d44630aA0f2,1852349000000000000000000
0x6D66f76d5B7870ab9451f47a657301226E21fB29,462824000000000000000000
0x86971CF81D0b8E401360c71161D953763556d211,918948000000000000000000
0x0b2Ddc7248a62C54CC3b62A9eb758F3fDC6f89e9,1810074000000000000000000
0x98dcA2B9CD7d5AE63f87E36809A352140873BA9d,1808383000000000000000000
0x9861949B46A4E4179c59043224E4378d9a102C49,1799480000000000000000000
0x1885FC3e0ED9210c330fb9853521f81E21596Ea1,894121000000000000000000
0x4848aCdA074606A6d1C61e97EE4849C567F0506c,1756738000000000000000000
0x68cd54E80d2A5b8228cba427dc6ABEe68d59cb2C,1730606000000000000000000
0xCa70b9B5BA363372Ff5FE2A5c6E0d933E0db6aD8,1708998000000000000000000
0x56700140f9e2d9a81b37A5d4d301a876Db5c3de3,1704438000000000000000000
0x7397b65EF64eb85a9C51bEECEaBA24E8462022A8,1701525000000000000000000
0x0b1c507922a0cC94Ab0d7eCACF38EaFB3D26B94D,424041000000000000000000
0xF49924617450cb39aC0b3d2A91EABe1771BB0B91,1689614000000000000000000
0x24176367b8cbc04057Cb90AA4Cc088cB3024613a,1670987000000000000000000
0x73B2E83fA1EE3057053350e830Ecc3b535672B62,1670896000000000000000000
0x000249dda5563ec6B2968E67Db796a688ecdD798,165054000000000000000000
0x9849f33DD61038F949367F48870a1cdC25dCb238,1604043000000000000000000
0xF735e554Bf9A08555f15B04E144969b33B5EF2e5,1585361000000000000000000
0x4c4C87AD0EbA98cAC45e6c279DFBC1BA2b84A0b6,1553341000000000000000000
0x178293567E6A2d61254b9EF0e34D5388B6e08837,1538519000000000000000000
0xf799E7E76499d750e9949B7978a5B0cef304e8dB,150298000000000000000000
0xda2e85Ed0196A535Ce539779Fc3fa4B10d1ce9d0,2245792000000000000000000
0xc1F39F22A8D6F67632a2DD045F99E985B92927Ff,1490701000000000000000000
0xd38D057F68C20965f870811E8eF935Ffa66cEEcc,1452250000000000000000000
0x2D5b0b258B1BD35d7c7CC5F97f74eDe2Df334647,1448454000000000000000000
0x7b1C7d7bcee2a8284C53ab3cA5203502FA3c3F27,357839000000000000000000
0xEAc937F5130F5EA50fd394bF5e54e6d16CDa8495,2132604000000000000000000
0xBC7407651C4fdE9D8C679E81108257029Bc1b2f3,1414412000000000000000000
0x647984745FC0c2138D05F0B5FF115eb7a9E1b929,1412739000000000000000000
0xc9604B43815A35D6C42DC8a9c535B36b1120EfB5,1388250000000000000000000
0xdC8a6008126525A954F77DF681532C1f6e1B3243,1386729000000000000000000
0xE4726766789eb40206c28dB369FCA4bdce43F7b2,1367318000000000000000000
0x948532eEbDd0da8A46BEDd9cE36cAda7b9c05a1F,2026625000000000000000000
0x9929a38DCb281a73029290110b5856258701CC54,1328517000000000000000000
0xA91deb5104E58387BecBFC9C14EB6c7D9C157E89,1282481000000000000000000
0x3aBa8b1445ed8d66703fdd6d4A705afBb6b9d6A4,127644000000000000000000
0xdba076c3986b09bf8d1c42367630fb2ec8bc3770,1865348000000000000000000
0x4B12CabCd07761834bd6DC4074dB57830E273Dfb,1243455000000000000000000
0xD5B700827e00f2a5D66974b3ae215E5A83A14f51,1236430000000000000000000
0x841A7c4c7E17a92467931a01c845e6c267154d9a,1229935000000000000000000
0xE23C5C33857Db798a87eBc50142C43e39B6Edf34,1224222000000000000000000
0x632ea35ea01CAC19E433CC1Dcc8D0e1988425121,1208589000000000000000000
0x95C6d0f794b9c629C94b1Cbd9bbF4c290D326F99,1201657000000000000000000
0xfBb535DEE3312BC2ce91F964950B0B53A5381306,1162815000000000000000000
