owner,groupId,totalAmount
0xe4344Eefe768AABDFFCf6D468734E94C3b07dC2A,200,625000.00000000
0xeDe1d403BD9d1eDC0eEB06e2a61eAC38Aa134eBA,200,1500000.00000000
0x8De026D4CDFB99C6A07ecb0B1755c149E4980733,200,3625000.00000000
0x4E8A81f6D3E241F91D02E6353cb9b7a8CAc9d2E1,200,1312000.00000000
0xebdD2995D2Ff68A3F3E2a044Fcf21B1f7AcC6cf9,200,110000000.00000000
0xBf05faf76F2fE1821be789F8012Fe500FB10AF01,200,110000000.00000000
0x43de8451E7780A5Ef838741fc311caBFBE5b249D,200,108760000.00000000
0x717902f0df451B43334392F67061F6b04F76883F,200,200000000.00000000
0x1e85bCcC45be41D2753fb582921e9faC3b497007,200,113120000.00000000
0xf069F3BE74aA66739a4Ef69d31925298c4903aad,200,80000000.00000000
0xF96d177c15F811999b18799DC4c1C4e336aCbc94,200,80000000.00000000
0xdB42235df7aC1e960600AAD9C1ddD5C621D2921B,200,61327190.00000000
0x2E3e3d8630690C4B94A9CBc37C64C05565232e27,200,60000000.00000000
0xCda9D3C27C11fDB753307f7d6bD8B2000CD5A322,200,70684837.00000000
0x34C99E3C0CEfEc9fA8Bc7447bb11577572E58F1C,200,62400000.00000000
0x1dF15d6560D5a5B3a346C61F19a7e16604B82D52,200,10000000.00000000
0x1Ac0109e07D190f18B007db0EaeB737d4f78b7Ff,200,49690000.00000000
0xDcC6bE6b118caf11cD0C2fA4161436e3d81D39eb,200,49040000.00000000
0x6B0bc98B76AF2b83Fbc36E673343b9E0B0ad21a6,200,90022240.00000000
0xD45437C6b31F20447e3c2E02F310BDBB08E35111,200,41196200.00000000
0xf8faF17B49f3c5A7c4BEB0B79A21319787907141,200,40000000.00000000
0xC504BCb52F93694E3F985886042E31D52219F555,200,40000000.00000000
0x07927df03FD2aE3FF158E274C9DeD89845f7f757,200,40000000.00000000
0x3e256372a9390cDd9667d47CDf58240D714834d1,200,36000000.00000000
0x0d716Be4b470eb546D3E3f11b324cC46A3e0A87e,200,34560000.00000000
0x3fB433d45a7E8ec19A9F195F80AcA74d790b2C05,200,43080000.00000000
0x2987C7D38afc571F47B8f67A6d6720840867cdFd,200,31500000.00000000
0x80DAf72ea7A662db53BF6050dBC999FBB7d4B434,200,31163091.00000000
0x2b86A779e6ce1eC28F6c4B8119417fF9453CDa5b,200,30000000.00000000
0x5594EAED145A223ebc28f3eF13A145b4A7965445,200,28571429.00000000
0x9cef1c9A87a15149FA2B696333940DDFD042eB1b,200,60000000.00000000
0x5E8345D81Dcd7542aeBE91918357a8694260EB94,200,26000000.00000000
0xFf56d1507147D8Ed54CC187fFf34f52534f2C77E,200,25000000.00000000
0xDDB2A3800D12ABe4141bCfE03d010B737B44d15F,200,9693203.00000000
0x5623eef1b79DF63c413297409F6b6341442B1628,200,761000.00000000
0x93Cae76d5d6A57984A15aB9d266effA9985539ca,200,3805000.00000000
0x3f7B666b4e578a6427e69eAB1265ee0E77D44cFE,200,5935800.00000000
0x93f67C4E87EB43c7Bb3C2e6401161345D3604a98,200,3805000.00000000
0x82b3B3FfFD8680967305DeBf1816fe49b090670D,200,24000000.00000000
0xca5D3087c2D3C8B4d1fd0A6Bb55eF830ae9e3CEA,200,24000000.00000000
0x35B17029795d8b6E48c57F5E1C0a7729929408fc,200,24000000.00000000
0x4D553B7B7865C03470C2171eC0713c81D079Fc65,200,24000000.00000000
0x43723Ee80C95F51C05Fc2ec8C34b3DD7d612246f,200,24000000.00000000
0x01b1d834751e5E18e9a1CB61860EA7174E206191,200,23999999.00000000
